,...1,baseMean,log2FoldChange,lfcSE,pvalue,padj,regulate,Cluster
5136,PF3D7_0503300,2160.47010019561,-0.488618274732801,0.2499569268313,0.010527239048931,0.052108393833815,Normal,GroupA
5137,PF3D7_0502000,1566.36288295386,-0.014899193600537,0.242050438225857,0.931878153047103,0.966036344224087,Normal,GroupB
5138,PF3D7_0500400,6.58408699971077,0.48166328198885,0.493425477445617,0.011913270024864,0.056994763202655,Normal,GroupC
5139,PF3D7_0632600,2922.55845210722,0.275870001336804,0.203926974090734,0.088362618926174,0.239664845539023,Normal,GroupD
5140,PF3D7_0629300,255.75627043598,-0.302219226466042,0.212738141543224,0.070974498660459,0.207758235971047,Normal,GreopE
5141,PF3D7_0625100,10.1307872694923,0.002449186503148,0.328012547442604,0.989185350885593,0.994348373153773,Normal,GroupA
5142,PF3D7_0623100,8042.23664232124,0.347188315605689,0.18787685526434,0.026078470362271,0.101300560791466,Normal,GroupB
5143,PF3D7_0617800,2129.81028781359,0.054572304309585,0.23352764206274,0.750363830787216,0.869035078879275,Normal,GroupC
5144,PF3D7_0616200,469.946276840919,-0.014460021437342,0.178077643935573,0.919881029214451,0.960752834897956,Normal,GroupD
5145,PF3D7_0614200,198.200616627394,0.205612943061581,0.215844529659877,0.215215274566213,0.430589145502777,Normal,GreopE
5146,PF3D7_0613900,2775.33466026148,-0.424567184334617,0.31199369676805,0.040094579550069,0.139649497727309,Normal,GroupA
5147,PF3D7_0613800,1052.90797236886,0.498745248755121,0.318159523880767,0.019064679038776,0.080590614234387,Normal,GroupB
5148,PF3D7_0612700,434.677707483749,-0.130078592064724,0.170639501300498,0.347836785665606,0.569016106636969,Normal,GroupC
5149,PF3D7_0610800,8982.6321876648,-0.041546583932856,0.170797619146014,0.765103047825959,0.877219077215996,Normal,GroupD
5150,PF3D7_0607500,206.156811521572,0.105919262739886,0.162874511213609,0.426728019888086,0.640622932815125,Normal,GreopE
5151,PF3D7_0604700,167.734474471058,0.075209481183234,0.19240313088102,0.621050441082199,0.78773742001316,Normal,GroupA
5152,PF3D7_0603800,492.170948500445,0.060349922894333,0.143142162194315,0.613171500385134,0.78139433163372,Normal,GroupB
5153,PF3D7_0603300,913.596117297134,-0.236525345560876,0.205976187279833,0.143457740525694,0.331761299426966,Normal,GroupC
5154,PF3D7_0601000,878.22627271347,0.012034516834584,0.09619017361266,0.883276286969425,0.944870181123375,Normal,GroupD
5155,PF3D7_0324800,104.746067655315,1.11154190056091,0.27259869362993,6.04914129462572E-07,2.14685210652403E-05,Up,GreopE
5156,PF3D7_0323900,136.260861770449,-0.220648535490437,0.247663279443872,0.219724107773614,0.436394259404069,Normal,GroupA
5157,PF3D7_0323400,1034.54998073892,-1.0845963590126,0.161854607552264,3.56838065521877E-13,7.17640998438443E-11,Down,GroupB
5158,PF3D7_0321900,1924.60131650045,0.111785538641385,0.093203752668768,0.151475667754145,0.343525697813879,Normal,GroupC
5159,PF3D7_0320900,6801.95732889124,0.055857616280433,0.289454081068243,0.761450013636115,0.875619138933525,Normal,GroupD
5160,PF3D7_0320700,328.589843995686,-0.053734710824233,0.213708198970629,0.741931927351506,0.865070333460868,Normal,GreopE
5161,PF3D7_0320300,3840.31762449896,-0.419541249169822,0.200372066828227,0.011288736744629,0.054828122113894,Normal,GroupA
5162,PF3D7_0320000,285.316688982766,-0.521109687013131,0.261906975817107,0.008140029592016,0.043590099294523,Normal,GroupB
5163,PF3D7_0317600,11675.7124976009,-0.691560514410534,0.255222276986255,0.000534552980445,0.005571252752045,Normal,GroupC
5164,PF3D7_0309700,262.424931260186,-0.020005466135096,0.212867180761861,0.90215381575968,0.953424526970623,Normal,GroupD
5165,PF3D7_0308200,3623.73800126385,-0.138964394999034,0.186601273138655,0.350408040138272,0.571043114631098,Normal,GreopE
5166,PF3D7_0305000,393.833901981527,0.015451945607124,0.21733588607256,0.925281550151899,0.963267444534775,Normal,GroupA
5167,PF3D7_0301000,11.2424941212362,0.324602247650627,0.352381027961041,0.108641316106009,0.276440927596333,Normal,GroupB
5168,PF3D7_0113100,84.4502364988023,0.854678637323534,0.348648549522263,0.000406617092314,0.004552434662399,Normal,GroupC
5169,PF3D7_0109100,244.5411810525,-0.892123451354082,0.168787494113998,3.70806314218865E-09,2.39699795977195E-07,Normal,GroupD
5170,PF3D7_0106900,197.960733977528,0.08591146825972,0.255525360897815,0.631081305272218,0.793294412518546,Normal,GreopE
5171,PF3D7_0106800,155.53001902202,0.021410748603975,0.222781750177424,0.898064693307602,0.951139318248542,Normal,GroupA
5172,PF3D7_0103700,181.05698969801,0.315549499417059,0.240625625460368,0.080294388165935,0.224510055479417,Normal,GroupB
5173,PF3D7_1150400,43408.1377922369,0.498123712578538,0.286755897521524,0.01483326684596,0.06694640254148,Normal,GroupC
5174,PF3D7_1150000,2.81132280175563,0.33515301410884,0.462448120934835,0.041567701272905,0.143321263781251,Normal,GroupD
5175,PF3D7_1144500,427.878186588552,0.045904652685684,0.21781119200396,0.780898450205322,0.885975466906581,Normal,GreopE
5176,PF3D7_1141400,270.408418431507,-0.135242569135124,0.162587393490876,0.309427361727365,0.532211141647003,Normal,GroupA
5177,PF3D7_1140000,95.6452145179535,0.852670431691069,0.234167516348411,9.76134694511675E-06,0.000208677613827,Normal,GroupB
5178,PF3D7_0715100,24.203728474318,0.056300224194954,0.330042242018118,0.756204658223626,0.872120731666277,Normal,GroupC
5179,PF3D7_0714300,1053.64631283573,0.106368088159813,0.227485164145924,0.530580879104126,0.7191847662345,Normal,GroupD
5180,PF3D7_0713400,1489.26824079371,-0.232438659416802,0.12485755836427,0.034204465482884,0.123961296576462,Normal,GreopE
